City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gao,16.6362,1.637,39.35,4,86,0.47,ML,1681923481
1,linkou,45.3,130.2833,8.38,66,100,2.21,CN,1681923482
2,porto novo,6.4965,2.6036,26.9,69,99,4.49,BJ,1681923482
3,adamstown,-25.066,-130.1015,24.61,76,39,4.14,PN,1681923482
4,hamilton,39.1834,-84.5333,22.64,41,75,3.6,US,1681923362
5,macas,-2.3167,-78.1167,23.86,73,75,3.6,EC,1681923483
6,srandakan,-7.9386,110.2506,25.17,90,43,0.83,ID,1681923484
7,arkhangel'sk,64.5401,40.5433,4.06,75,75,4.0,RU,1681923484
8,olonkinbyen,70.9221,-8.7187,1.74,89,27,7.04,SJ,1681923484
9,port-aux-francais,-49.35,70.2167,5.54,68,51,14.6,TF,1681923485
10,bilibino,68.0546,166.4372,-9.02,95,100,1.32,RU,1681923485
11,kushiro,42.975,144.3747,3.81,95,87,0.46,JP,1681923486
12,puerto natales,-51.7236,-72.4875,14.25,54,75,14.4,CL,1681923486
13,bethel,41.3712,-73.414,11.46,53,100,6.17,US,1681923487
14,ribeira grande,38.5167,-28.7,14.87,88,75,7.72,PT,1681923487
15,kenai,60.5544,-151.2583,0.64,74,0,1.54,US,1681923487
16,smithers,54.7804,-127.1743,0.18,100,100,1.03,CA,1681923314
17,waddan,29.1614,16.139,25.87,17,0,3.76,LY,1681923488
18,vadso,70.0744,29.7487,5.49,75,75,7.2,NO,1681923489
19,edinburgh of the seven seas,-37.0676,-12.3116,17.67,68,100,10.13,SH,1681923489
20,christchurch,-43.5333,172.6333,13.84,90,100,4.63,NZ,1681923257
21,arecibo,18.4724,-66.7157,32.08,73,9,2.68,PR,1681923291
22,port elizabeth,-33.918,25.5701,21.29,79,0,1.54,ZA,1681923490
23,ilhabela,-23.7781,-45.3581,25.51,78,93,3.62,BR,1681923491
24,puerto ayora,-0.7393,-90.3518,27.53,91,99,1.34,EC,1681923491
25,goronyo,13.4423,5.6763,40.38,16,85,4.97,NG,1681923492
26,talnakh,69.4865,88.3972,-15.44,94,100,2.35,RU,1681923492
27,brookings,44.3114,-96.7984,11.77,84,100,4.12,US,1681923492
28,bredasdorp,-34.5322,20.0403,17.99,61,100,1.31,ZA,1681923493
29,taoudenni,22.6783,-3.9836,38.25,10,13,9.17,ML,1681923493
30,papatowai,-46.5619,169.4708,9.29,92,18,2.5,NZ,1681923494
31,nantucket,41.2835,-70.0995,12.3,49,0,9.77,US,1681923494
32,chkalovsk,56.7647,43.2433,7.64,70,40,2.89,RU,1681923495
33,waitangi,-43.9535,-176.5597,16.01,93,100,4.02,NZ,1681923495
34,lebu,-37.6167,-73.65,15.63,77,48,7.25,CL,1681923495
35,miyako,39.6367,141.9525,7.66,74,97,2.01,JP,1681923496
36,pilar do sul,-23.8131,-47.7164,23.24,44,82,5.53,BR,1681923496
37,marquette,46.5333,-87.6335,1.69,74,100,0.45,US,1681923290
38,stanley,54.868,-1.6985,12.1,66,0,4.63,GB,1681923497
39,mount isa,-20.7333,139.5,21.87,37,40,6.69,AU,1681923498
40,podgornoye,51.735,39.1496,14.12,26,0,4.0,RU,1681923499
41,thompson,55.7435,-97.8558,-4.91,54,75,3.6,CA,1681923500
42,holualoa,19.6228,-155.9522,21.39,85,99,2.24,US,1681923221
43,port lincoln,-34.7333,135.8667,14.79,64,99,3.05,AU,1681923501
44,tocopilla,-22.092,-70.1979,22.27,71,15,3.23,CL,1681923502
45,blackmans bay,-43.0167,147.3167,9.29,73,60,3.99,AU,1681923503
46,grytviken,-54.2811,-36.5092,3.33,88,87,2.56,GS,1681923503
47,whitehorse,60.7161,-135.0538,1.84,100,75,0.0,CA,1681923504
48,lovisa,60.4566,26.2251,6.74,58,7,1.51,FI,1681923504
49,polyarnyy,69.1989,33.4478,3.55,87,95,9.0,RU,1681923505
50,susuman,62.7833,148.1667,-13.92,98,94,2.49,RU,1681923505
51,muisne,0.6,-80.0333,28.55,72,95,3.36,EC,1681923506
52,iqaluit,63.7506,-68.5145,-9.15,86,100,0.0,CA,1681923506
53,minas de marcona,-15.2119,-75.1103,21.6,55,6,5.87,PE,1681923506
54,qaqortoq,60.7167,-46.0333,0.86,88,92,1.33,GL,1681923507
55,hermanus,-34.4187,19.2345,17.11,81,100,1.8,ZA,1681923507
56,saqqez,36.2499,46.2735,14.63,54,33,2.56,IR,1681923508
57,cabo san lucas,22.8909,-109.9124,28.12,71,96,0.89,MX,1681923244
58,tefe,-3.3542,-64.7114,31.06,66,40,5.14,BR,1681923509
59,coquimbo,-29.9533,-71.3436,19.85,59,0,6.17,CL,1681923289
60,udachny,66.4167,112.4,-17.61,100,80,1.99,RU,1681923509
61,isafjordur,66.0755,-23.124,6.02,93,75,5.14,IS,1681923510
62,pyapon,16.2833,95.6833,27.79,77,0,5.29,MM,1681923510
63,jamaame,0.0697,42.745,28.14,71,100,3.6,SO,1681923511
64,west island,-12.1568,96.8225,26.99,89,75,9.26,CC,1681923511
65,anadyr,64.75,177.4833,-3.72,85,75,7.0,RU,1681923511
66,ad dabbah,18.05,30.95,33.56,6,0,4.14,SD,1681923512
67,albany,42.6001,-73.9662,7.73,65,80,0.89,US,1681923512
68,fortuna,40.5982,-124.1573,8.19,87,27,0.89,US,1681923513
69,karelichy,53.5653,26.1378,11.72,55,99,5.25,BY,1681923513
70,ylitornio,66.3089,23.6773,1.54,100,100,0.92,FI,1681923513
71,mount pearl,47.5166,-52.7813,3.03,82,100,8.23,CA,1681923514
72,muroto-misakicho,33.2833,134.15,18.32,91,100,2.56,JP,1681923514
73,celestun,20.8667,-90.4,29.94,53,3,3.03,MX,1681923514
74,ilha de mocambique,-15.0342,40.7358,26.93,77,57,6.59,MZ,1681923515
75,tanout,14.9709,8.8879,39.25,10,19,3.21,NE,1681923515
76,fu'an,27.0892,119.6453,22.04,98,100,0.58,CN,1681923515
77,gadzhiyevo,69.2551,33.3362,3.27,88,95,9.04,RU,1681923516
78,natal,-5.795,-35.2094,32.36,62,20,4.63,BR,1681923385
79,vilyuchinsk,52.9306,158.4028,2.15,85,100,3.46,RU,1681923517
80,grants,35.1473,-107.8514,14.13,11,0,11.32,US,1681923484
81,galveston,29.3669,-94.9669,28.35,75,40,6.69,US,1681923517
82,hassi messaoud,31.6804,6.0729,37.92,5,40,2.57,DZ,1681923518
83,yellowknife,62.456,-114.3525,-0.71,59,20,5.14,CA,1681923445
84,ushuaia,-54.8,-68.3,9.81,71,75,9.77,AR,1681923408
85,odacho-oda,35.1833,132.5,15.69,96,85,1.98,JP,1681923520
86,trinity beach,-16.7888,145.6968,22.78,96,100,5.14,AU,1681923521
87,aykhal,66.0,111.5,-15.33,100,96,2.45,RU,1681923521
88,newman,37.3138,-121.0208,12.72,38,3,2.24,US,1681923522
